,name,score
651,King's Nose,3.82490125
2869,shining on my ex,3.8243805
2819,Moment's Notice,3.8243805
4495,Sunflower - Spider-Man: Into the Spider-Verse,3.82298025
1347,Pony,3.8223035
1582,What's Yours is Mine,3.82118278
3837,Just the Way It Is,3.82116325
5857,Father Time (feat. Sampha),3.820085
4726,"Greenbacks (12"" Instrumental Version)",3.819232
3094,Wassup (feat. Future),3.819173855
5465,Cap Peel,3.818717
5049,why me,3.81663975
5205,Rich - Interlude,3.8153769
29,Showdown,3.81497155
942,World Domination,3.8143365
5739,money on go,3.81343967
5089,Rose Tint,3.8131785
1478,Peppermint Man,3.812875
2892,Tijuana Gift Shop,3.812776
3297,Just How It Is,3.8127655
4694,The Time We Faced Doom (Skit),3.81190975
4185,Came and Saw (feat. Rowdy Rebel),3.8106695
999,Up the Khyber,3.81026775
2962,Zack And Codeine,3.809461249999999
5419,Emblica Officinalis,3.80819825
3590,Satisfy My Soul,3.80810025
4926,matcha latte,3.8067925
3393,Get Mine II,3.806391
5218,#freejb,3.8057890000000008
5496,Troupeau bleu,3.80513
2514,Verses from the Abstract,3.80384402
2004,Peppermint,3.8036485
5683,Scenery,3.803191500000001
2180,Massage Seats,3.802784
951,Imagineer,3.8022085
4584,Rich Don't Stop,3.801504054
2012,didya think,3.801292871
538,Another One Bites The Dust - Remastered 2011,3.79898325
46,Limelight,3.7983785
4514,Feel Like A Fool,3.79771925
2875,gone,3.79722925
1472,Miserlou,3.79606775
5675,Diet Coke,3.7950865
3998,80,3.792723
2305,NorthStar - Remix,3.7925832747
